Город
8 Марта п.-(Новосибирская Область)
Абакан-(Хакасия Республика)
Абакан-(Хакасия Республика)
Азово с.-(Омская Область)
Академгородок-(Новосибирская Область)
Аксу-(Павлодарская область)
Актау-(Мангистауская область)
Актобе-(Актюбинская область)
Алапаевск-(Свердловская Область)
Алгабас-(Алма-Ата)
Алматы-(Алма-Ата)
АО Казцинк  Усть-Каменогорск-(Восточно-Казахстанская область)
АО УМЗ Усть-Каменогорск-(Восточно-Казахстанская область)
Апрелевка-(Московская Область)
Арамиль-(Свердловская Область)
Армавир-(Краснодарский Край)
Артемовский-(Свердловская Область)
Арти-(Свердловская Область)
Архангельск-(Архангельская Область)
Асбест-(Свердловская Область)
Астрахань-(Астраханская Область)
Атбасар-(Акмолинская область)
Атырау-(Атырауская область)
Ауэзов-Бакырчинский ГОК п.-(Восточно-Казахстанская область)
Ачаир с.-(Омская Область)
Ачит-(Свердловская Область)
Аягоз г.-(Восточно-Казахстанская область)
Байкалово-(Свердловская Область)
Балашиха-(Московская Область)
Балхаш-(Карагандинская область)
Баранчинский-(Свердловская Область)
Барнаул-(Алтайский Край)
Барышево с.-(Новосибирская Область)
Белгород-(Белгородская Область)
Белоусовка п.-(Восточно-Казахстанская область)
Белоярский-(Свердловская Область)
Бердск-(Новосибирская Область)
Березовский-(Кемеровская Область)
Бийск-(Алтайский Край)
Бисерть-(Свердловская Область)
Бишкек-(Бишкек)
Благовещенск-(Амурская Область)
Богданович-(Свердловская Область)
Богословка с.-(Омская Область)
Большеречье пгт.-(Омская Область)
Большие Уки с.-(Омская Область)
Большой Исток-(Свердловская Область)
Боралдай-(Алма-Ата)
Бородулиха п.-(Восточно-Казахстанская область)
Бронницы-(Московская Область)
Брянск-(Брянская Область)
Буланаш-(Свердловская Область)
Великий Новгород-(Новгородская Область)
Верея-(Московская Область)
Верх-Нейвинский-(Свердловская Область)
Верхние Серги-(Свердловская Область)
Верхний Тагил-(Свердловская Область)
Верхняя Пышма-(Свердловская Область)
Верхняя Салда-(Свердловская Область)
Верхняя Синячиха-(Свердловская Область)
Верхняя Сысерть-(Свердловская Область)
Верхотурье-(Свердловская Область)
Верх-Тула с.-(Новосибирская Область)
Видное-(Московская Область)
Владивосток-(Приморский Край)
Владимир-(Владимирская Область)
Волгоград-(Волгоградская Область)
Волжский-(Волгоградская Область)
Вологда-(Вологодская Область)
Володарского-(Москва Город)
Волоколамск-(Московская Область)
Волчанск-(Свердловская Область)
Воронеж-(Воронежская Область)
Воскресенск-(Московская Область)
Высоковск-(Московская Область)
Гари-(Свердловская Область)
Глубокое п.-(Восточно-Казахстанская область)
Голицыно-(Московская Область)
Горноуральский-(Свердловская Область)
Горьковское пгт.-(Омская Область)
Дегтярск-(Свердловская Область)
Дедовск-(Московская Область)
Джезказган-(Карагандинская область)
Дзержинск-(Нижегородская Область)
Дзержинский-(Московская Область)
Дмитров-(Московская Область)
Долгопрудный-(Московская Область)
Домодедово-(Московская Область)
Доскей-(Карагандинская область)
Дрезна-(Московская Область)
Дружино с.-(Омская Область)
Дружино-(Свердловская Область)
Дубна-(Московская Область)
Егорьевск-(Московская Область)
Екатеринбург-(Свердловская Область)
Ерейментау-(Акмолинская область)
Ертарский-(Свердловская Область)
Жанаул п.-(Павлодар город)
Жанаозен-(Мангистауская область)
Жартас-(Карагандинская область)
Жартас, Абайский район-(Карагандинская область)
Жезкент п.-(Восточно-Казахстанская область)
Железнодорожный-(Московская Область)
Жуковский-(Московская Область)
Зарайск-(Московская Область)
Заречный-(Пензенская Область)
Звенигород-(Московская Область)
Зеленоград-(Москва Город)
Знаменское с.-(Омская Область)
Зыряновск г.-(Восточно-Казахстанская область)
Иваново-(Ивановская Область)
Ивантеевка-(Московская Область)
Ивдель-(Свердловская Область)
Ижевск-(Удмуртская Республика)
Икша-(Москва Город)
Ирбит-(Свердловская Область)
Иргели-(Алма-Ата)
Иркутск-(Иркутская Область)
Иртышский п.-(Омская Область)
Исилькуль-(Омская Область)
Искитим-(Новосибирская Область)
Истра-(Московская Область)
Йошкар-Ола-(Марий Эл Республика)
Казань-(Татарстан Республика)
Калачинск-(Омская Область)
Калбатау-(Восточно-Казахстанская область)
Калининград-(Калининградская Область)
Калинино с.-(Омская Область)
Калуга-(Калужская Область)
Калья-(Свердловская Область)
Каменск-Уральский-(Свердловская Область)
Камышлов-(Свердловская Область)
Капчагай-(Алматинская область)
Карабулак-(Южно-Казахстанская область)
Караганды-(Карагандинская область)
Каркаралинск-(Карагандинская область)
Карпинск-(Свердловская Область)
Карпушиха-(Свердловская Область)
Каскелен-(Алматинская область)
Качканар-(Свердловская Область)
Кашира-(Московская Область)
Кедровое-(Свердловская Область)
Кемерово-(Кемеровская Область)
Киров-(Калужская Область)
Киров-(Кировская Область)
Кировград-(Свердловская Область)
Климовск-(Московская Область)
Клин-(Московская Область)
Ключевск-(Свердловская Область)
Ключи п.-(Омская Область)
Кокшетау-(Акмолинская область)
Коломна-(Московская Область)
Колосовка с.-(Омская Область)
Колывань рп.-(Новосибирская Область)
Кольцово пгт.-(Новосибирская Область)
Комсомольск-на-Амуре-(Хабаровский Край)
Кормиловка пгт.-(Омская Область)
